Iter,O,D,aCost,bCost
1,N001,N002,0.48314285700000004,1.337857143
1,N001,N003,0.5331428570000001,1.3755574830000001
1,N004,N002,0.516571428,1.352857143
1,N004,N003,0.566571428,1.3684714416666668
2,N001,N002,0.48314285700000004,1.337857143
2,N001,N003,0.5331428570000001,1.3755574830000001
2,N004,N002,0.516571428,1.352857143
2,N004,N003,0.566571428,1.3684714416666668
3,N001,N002,0.48314285700000004,1.337857143
3,N001,N003,0.5331428570000001,1.3755574830000001
3,N004,N002,0.516571428,1.352857143
3,N004,N003,0.566571428,1.3684714416666668
4,N001,N002,0.48314285700000004,1.337857143
4,N001,N003,0.5331428570000001,1.3755574830000001
4,N004,N002,0.516571428,1.352857143
4,N004,N003,0.566571428,1.3684714416666668
5,N001,N002,0.48314285700000004,1.337857143
5,N001,N003,0.5331428570000001,1.3755574830000001
5,N004,N002,0.516571428,1.352857143
5,N004,N003,0.566571428,1.3684714416666668
6,N001,N002,0.48314285700000004,1.337857143
6,N001,N003,0.5331428570000001,1.3755574830000001
6,N004,N002,0.516571428,1.352857143
6,N004,N003,0.566571428,1.3684714416666668
7,N001,N002,0.48314285700000004,1.337857143
7,N001,N003,0.5331428570000001,1.3755574830000001
7,N004,N002,0.516571428,1.352857143
7,N004,N003,0.566571428,1.3684714416666668
8,N001,N002,0.48314285700000004,1.337857143
8,N001,N003,0.5331428570000001,1.3755574830000001
8,N004,N002,0.516571428,1.352857143
8,N004,N003,0.566571428,1.3684714416666668
9,N001,N002,0.48314285700000004,1.337857143
9,N001,N003,0.5331428570000001,1.3755574830000001
9,N004,N002,0.516571428,1.352857143
9,N004,N003,0.566571428,1.3684714416666668
10,N001,N002,0.48314285700000004,1.337857143
10,N001,N003,0.5331428570000001,1.3755574830000001
10,N004,N002,0.516571428,1.352857143
10,N004,N003,0.566571428,1.3684714416666668
11,N001,N002,0.48314285700000004,1.337857143
11,N001,N003,0.5331428570000001,1.3755574830000001
11,N004,N002,0.516571428,1.352857143
11,N004,N003,0.566571428,1.3684714416666668
12,N001,N002,0.48314285700000004,1.337857143
12,N001,N003,0.5331428570000001,1.3755574830000001
12,N004,N002,0.516571428,1.352857143
12,N004,N003,0.566571428,1.3684714416666668
13,N001,N002,0.48314285700000004,1.337857143
13,N001,N003,0.5331428570000001,1.3755574830000001
13,N004,N002,0.516571428,1.352857143
13,N004,N003,0.566571428,1.3684714416666668
14,N001,N002,0.48314285700000004,1.337857143
14,N001,N003,0.5331428570000001,1.3755574830000001
14,N004,N002,0.516571428,1.352857143
14,N004,N003,0.566571428,1.3684714416666668
15,N001,N002,0.48314285700000004,1.337857143
15,N001,N003,0.5331428570000001,1.3755574830000001
15,N004,N002,0.516571428,1.352857143
15,N004,N003,0.566571428,1.3684714416666668
16,N001,N002,0.48314285700000004,1.337857143
16,N001,N003,0.5331428570000001,1.3755574830000001
16,N004,N002,0.516571428,1.352857143
16,N004,N003,0.566571428,1.3684714416666668
17,N001,N002,0.48314285700000004,1.337857143
17,N001,N003,0.5331428570000001,1.3755574830000001
17,N004,N002,0.516571428,1.352857143
17,N004,N003,0.566571428,1.3684714416666668
18,N001,N002,0.48314285700000004,1.337857143
18,N001,N003,0.5331428570000001,1.3755574830000001
18,N004,N002,0.516571428,1.352857143
18,N004,N003,0.566571428,1.3684714416666668
19,N001,N002,0.48314285700000004,1.337857143
19,N001,N003,0.5331428570000001,1.3755574830000001
19,N004,N002,0.516571428,1.352857143
19,N004,N003,0.566571428,1.3684714416666668
20,N001,N002,0.48314285700000004,1.337857143
20,N001,N003,0.5331428570000001,1.3755574830000001
20,N004,N002,0.516571428,1.352857143
20,N004,N003,0.566571428,1.3684714416666668
21,N001,N002,0.48314285700000004,1.337857143
21,N001,N003,0.5331428570000001,1.3755574830000001
21,N004,N002,0.516571428,1.352857143
21,N004,N003,0.566571428,1.3684714416666668
22,N001,N002,0.48314285700000004,1.337857143
22,N001,N003,0.5331428570000001,1.3755574830000001
22,N004,N002,0.516571428,1.352857143
22,N004,N003,0.566571428,1.3684714416666668
23,N001,N002,0.48314285700000004,1.337857143
23,N001,N003,0.5331428570000001,1.3755574830000001
23,N004,N002,0.516571428,1.352857143
23,N004,N003,0.566571428,1.3684714416666668
24,N001,N002,0.48314285700000004,1.337857143
24,N001,N003,0.5331428570000001,1.3755574830000001
24,N004,N002,0.516571428,1.352857143
24,N004,N003,0.566571428,1.3684714416666668
25,N001,N002,0.48314285700000004,1.337857143
25,N001,N003,0.5331428570000001,1.3755574830000001
25,N004,N002,0.516571428,1.352857143
25,N004,N003,0.566571428,1.3684714416666668
26,N001,N002,0.48314285700000004,1.337857143
26,N001,N003,0.5331428570000001,1.3755574830000001
26,N004,N002,0.516571428,1.352857143
26,N004,N003,0.566571428,1.3684714416666668
27,N001,N002,0.48314285700000004,1.337857143
27,N001,N003,0.5331428570000001,1.3755574830000001
27,N004,N002,0.516571428,1.352857143
27,N004,N003,0.566571428,1.3684714416666668
28,N001,N002,0.48314285700000004,1.337857143
28,N001,N003,0.5331428570000001,1.3755574830000001
28,N004,N002,0.516571428,1.352857143
28,N004,N003,0.566571428,1.3684714416666668
29,N001,N002,0.48314285700000004,1.337857143
29,N001,N003,0.5331428570000001,1.3755574830000001
29,N004,N002,0.516571428,1.352857143
29,N004,N003,0.566571428,1.3684714416666668
30,N001,N002,0.48314285700000004,1.337857143
30,N001,N003,0.5331428570000001,1.3755574830000001
30,N004,N002,0.516571428,1.352857143
30,N004,N003,0.566571428,1.3684714416666668
31,N001,N002,0.48314285700000004,1.337857143
31,N001,N003,0.5331428570000001,1.3755574830000001
31,N004,N002,0.516571428,1.352857143
31,N004,N003,0.566571428,1.3684714416666668
32,N001,N002,0.48314285700000004,1.337857143
32,N001,N003,0.5331428570000001,1.3755574830000001
32,N004,N002,0.516571428,1.352857143
32,N004,N003,0.566571428,1.3684714416666668
33,N001,N002,0.48314285700000004,1.337857143
33,N001,N003,0.5331428570000001,1.3755574830000001
33,N004,N002,0.516571428,1.352857143
33,N004,N003,0.566571428,1.3684714416666668
34,N001,N002,0.48314285700000004,1.337857143
34,N001,N003,0.5331428570000001,1.3755574830000001
34,N004,N002,0.516571428,1.352857143
34,N004,N003,0.566571428,1.3684714416666668
35,N001,N002,0.48314285700000004,1.337857143
35,N001,N003,0.5331428570000001,1.3755574830000001
35,N004,N002,0.516571428,1.352857143
35,N004,N003,0.566571428,1.3684714416666668
36,N001,N002,0.48314285700000004,1.337857143
36,N001,N003,0.5331428570000001,1.3755574830000001
36,N004,N002,0.516571428,1.352857143
36,N004,N003,0.566571428,1.3684714416666668
37,N001,N002,0.48314285700000004,1.337857143
37,N001,N003,0.5331428570000001,1.3755574830000001
37,N004,N002,0.516571428,1.352857143
37,N004,N003,0.566571428,1.3684714416666668
38,N001,N002,0.48314285700000004,1.337857143
38,N001,N003,0.5331428570000001,1.3755574830000001
38,N004,N002,0.516571428,1.352857143
38,N004,N003,0.566571428,1.3684714416666668
39,N001,N002,0.48314285700000004,1.337857143
39,N001,N003,0.5331428570000001,1.3755574830000001
39,N004,N002,0.516571428,1.352857143
39,N004,N003,0.566571428,1.3684714416666668
40,N001,N002,0.48314285700000004,1.337857143
40,N001,N003,0.5331428570000001,1.3755574830000001
40,N004,N002,0.516571428,1.352857143
40,N004,N003,0.566571428,1.3684714416666668
41,N001,N002,0.48314285700000004,1.337857143
41,N001,N003,0.5331428570000001,1.3755574830000001
41,N004,N002,0.516571428,1.352857143
41,N004,N003,0.566571428,1.3684714416666668
42,N001,N002,0.48314285700000004,1.337857143
42,N001,N003,0.5331428570000001,1.3755574830000001
42,N004,N002,0.516571428,1.352857143
42,N004,N003,0.566571428,1.3684714416666668
43,N001,N002,0.48314285700000004,1.337857143
43,N001,N003,0.5331428570000001,1.3755574830000001
43,N004,N002,0.516571428,1.352857143
43,N004,N003,0.566571428,1.3684714416666668
44,N001,N002,0.48314285700000004,1.337857143
44,N001,N003,0.5331428570000001,1.3755574830000001
44,N004,N002,0.516571428,1.352857143
44,N004,N003,0.566571428,1.3684714416666668
45,N001,N002,0.48314285700000004,1.337857143
45,N001,N003,0.5331428570000001,1.3755574830000001
45,N004,N002,0.516571428,1.352857143
45,N004,N003,0.566571428,1.3684714416666668
46,N001,N002,0.48314285700000004,1.337857143
46,N001,N003,0.5331428570000001,1.3755574830000001
46,N004,N002,0.516571428,1.352857143
46,N004,N003,0.566571428,1.3684714416666668
47,N001,N002,0.48314285700000004,1.337857143
47,N001,N003,0.5331428570000001,1.3755574830000001
47,N004,N002,0.516571428,1.352857143
47,N004,N003,0.566571428,1.3684714416666668
48,N001,N002,0.48314285700000004,1.337857143
48,N001,N003,0.5331428570000001,1.3755574830000001
48,N004,N002,0.516571428,1.352857143
48,N004,N003,0.566571428,1.3684714416666668
49,N001,N002,0.48314285700000004,1.337857143
49,N001,N003,0.5331428570000001,1.3755574830000001
49,N004,N002,0.516571428,1.352857143
49,N004,N003,0.566571428,1.3684714416666668
50,N001,N002,0.48314285700000004,1.337857143
50,N001,N003,0.5331428570000001,1.3755574830000001
50,N004,N002,0.516571428,1.352857143
50,N004,N003,0.566571428,1.3684714416666668
51,N001,N002,0.48314285700000004,1.337857143
51,N001,N003,0.5331428570000001,1.3755574830000001
51,N004,N002,0.516571428,1.352857143
51,N004,N003,0.566571428,1.3684714416666668
52,N001,N002,0.48314285700000004,1.337857143
52,N001,N003,0.5331428570000001,1.3755574830000001
52,N004,N002,0.516571428,1.352857143
52,N004,N003,0.566571428,1.3684714416666668
53,N001,N002,0.48314285700000004,1.337857143
53,N001,N003,0.5331428570000001,1.3755574830000001
53,N004,N002,0.516571428,1.352857143
53,N004,N003,0.566571428,1.3684714416666668
54,N001,N002,0.48314285700000004,1.337857143
54,N001,N003,0.5331428570000001,1.3755574830000001
54,N004,N002,0.516571428,1.352857143
54,N004,N003,0.566571428,1.3684714416666668
55,N001,N002,0.48314285700000004,1.337857143
55,N001,N003,0.5331428570000001,1.3755574830000001
55,N004,N002,0.516571428,1.352857143
55,N004,N003,0.566571428,1.3684714416666668
56,N001,N002,0.48314285700000004,1.337857143
56,N001,N003,0.5331428570000001,1.3755574830000001
56,N004,N002,0.516571428,1.352857143
56,N004,N003,0.566571428,1.3684714416666668
57,N001,N002,0.48314285700000004,1.337857143
57,N001,N003,0.5331428570000001,1.3755574830000001
57,N004,N002,0.516571428,1.352857143
57,N004,N003,0.566571428,1.3684714416666668
58,N001,N002,0.48314285700000004,1.337857143
58,N001,N003,0.5331428570000001,1.3755574830000001
58,N004,N002,0.516571428,1.352857143
58,N004,N003,0.566571428,1.3684714416666668
59,N001,N002,0.48314285700000004,1.337857143
59,N001,N003,0.5331428570000001,1.3755574830000001
59,N004,N002,0.516571428,1.352857143
59,N004,N003,0.566571428,1.3684714416666668
60,N001,N002,0.48314285700000004,1.337857143
60,N001,N003,0.5331428570000001,1.3755574830000001
60,N004,N002,0.516571428,1.352857143
60,N004,N003,0.566571428,1.3684714416666668
61,N001,N002,0.48314285700000004,1.337857143
61,N001,N003,0.5331428570000001,1.3755574830000001
61,N004,N002,0.516571428,1.352857143
61,N004,N003,0.566571428,1.3684714416666668
62,N001,N002,0.48314285700000004,1.337857143
62,N001,N003,0.5331428570000001,1.3755574830000001
62,N004,N002,0.516571428,1.352857143
62,N004,N003,0.566571428,1.3684714416666668
63,N001,N002,0.48314285700000004,1.337857143
63,N001,N003,0.5331428570000001,1.3755574830000001
63,N004,N002,0.516571428,1.352857143
63,N004,N003,0.566571428,1.3684714416666668
64,N001,N002,0.48314285700000004,1.337857143
64,N001,N003,0.5331428570000001,1.3755574830000001
64,N004,N002,0.516571428,1.352857143
64,N004,N003,0.566571428,1.3684714416666668
65,N001,N002,0.48314285700000004,1.337857143
65,N001,N003,0.5331428570000001,1.3755574830000001
65,N004,N002,0.516571428,1.352857143
65,N004,N003,0.566571428,1.3684714416666668
66,N001,N002,0.48314285700000004,1.337857143
66,N001,N003,0.5331428570000001,1.3755574830000001
66,N004,N002,0.516571428,1.352857143
66,N004,N003,0.566571428,1.3684714416666668
67,N001,N002,0.48314285700000004,1.337857143
67,N001,N003,0.5331428570000001,1.3755574830000001
67,N004,N002,0.516571428,1.352857143
67,N004,N003,0.566571428,1.3684714416666668
68,N001,N002,0.48314285700000004,1.337857143
68,N001,N003,0.5331428570000001,1.3755574830000001
68,N004,N002,0.516571428,1.352857143
68,N004,N003,0.566571428,1.3684714416666668
69,N001,N002,0.48314285700000004,1.337857143
69,N001,N003,0.5331428570000001,1.3755574830000001
69,N004,N002,0.516571428,1.352857143
69,N004,N003,0.566571428,1.3684714416666668
70,N001,N002,0.48314285700000004,1.337857143
70,N001,N003,0.5331428570000001,1.3755574830000001
70,N004,N002,0.516571428,1.352857143
70,N004,N003,0.566571428,1.3684714416666668
71,N001,N002,0.48314285700000004,1.337857143
71,N001,N003,0.5331428570000001,1.3755574830000001
71,N004,N002,0.516571428,1.352857143
71,N004,N003,0.566571428,1.3684714416666668
72,N001,N002,0.48314285700000004,1.337857143
72,N001,N003,0.5331428570000001,1.3755574830000001
72,N004,N002,0.516571428,1.352857143
72,N004,N003,0.566571428,1.3684714416666668
73,N001,N002,0.48314285700000004,1.337857143
73,N001,N003,0.5331428570000001,1.3755574830000001
73,N004,N002,0.516571428,1.352857143
73,N004,N003,0.566571428,1.3684714416666668
74,N001,N002,0.48314285700000004,1.337857143
74,N001,N003,0.5331428570000001,1.3755574830000001
74,N004,N002,0.516571428,1.352857143
74,N004,N003,0.566571428,1.3684714416666668
75,N001,N002,0.48314285700000004,1.337857143
75,N001,N003,0.5331428570000001,1.3755574830000001
75,N004,N002,0.516571428,1.352857143
75,N004,N003,0.566571428,1.3684714416666668
76,N001,N002,0.48314285700000004,1.337857143
76,N001,N003,0.5331428570000001,1.3755574830000001
76,N004,N002,0.516571428,1.352857143
